threshold,observations,events,alerts,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1,alert_rate,probability_type
0.08,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.085,756,31,756,0,725,0,31,0.041005291005291,1.0,0.07878017789072427,1.0,sigmoid_probability
0.09,756,31,260,486,239,10,21,0.08076923076923077,0.6774193548387096,0.14432989690721648,0.3439153439153439,sigmoid_probability
0.095,756,31,100,634,91,22,9,0.09,0.2903225806451613,0.13740458015267176,0.13227513227513227,sigmoid_probability
0.1,756,31,62,669,56,25,6,0.0967741935483871,0.1935483870967742,0.12903225806451613,0.082010582010582,sigmoid_probability
0.105,756,31,50,680,45,26,5,0.1,0.16129032258064516,0.12345679012345678,0.06613756613756613,sigmoid_probability
0.11,756,31,43,687,38,26,5,0.11627906976744186,0.16129032258064516,0.13513513513513514,0.056878306878306875,sigmoid_probability
0.115,756,31,37,692,33,27,4,0.10810810810810811,0.12903225806451613,0.11764705882352941,0.04894179894179894,sigmoid_probability
0.12,756,31,32,696,29,28,3,0.09375,0.0967741935483871,0.09523809523809523,0.042328042328042326,sigmoid_probability
0.125,756,31,29,699,26,28,3,0.10344827586206896,0.0967741935483871,0.1,0.03835978835978836,sigmoid_probability
0.13,756,31,28,700,25,28,3,0.10714285714285714,0.0967741935483871,0.1016949152542373,0.037037037037037035,sigmoid_probability
0.135,756,31,25,703,22,28,3,0.12,0.0967741935483871,0.10714285714285714,0.03306878306878307,sigmoid_probability
0.14,756,31,23,705,20,28,3,0.13043478260869565,0.0967741935483871,0.1111111111111111,0.03042328042328042,sigmoid_probability
0.145,756,31,21,707,18,28,3,0.14285714285714285,0.0967741935483871,0.11538461538461539,0.027777777777777776,sigmoid_probability
0.15,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,sigmoid_probability
0.155,756,31,20,708,17,28,3,0.15,0.0967741935483871,0.11764705882352941,0.026455026455026454,sigmoid_probability
0.16,756,31,18,710,15,28,3,0.16666666666666666,0.0967741935483871,0.12244897959183673,0.023809523809523808,sigmoid_probability
0.165,756,31,16,712,13,28,3,0.1875,0.0967741935483871,0.1276595744680851,0.021164021164021163,sigmoid_probability
0.17,756,31,15,713,12,28,3,0.2,0.0967741935483871,0.13043478260869565,0.01984126984126984,sigmoid_probability
0.175,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,sigmoid_probability
0.18,756,31,14,713,12,29,2,0.14285714285714285,0.06451612903225806,0.08888888888888889,0.018518518518518517,sigmoid_probability
0.185,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,sigmoid_probability
0.19,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,sigmoid_probability
0.195,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,sigmoid_probability
0.2,756,31,12,714,11,30,1,0.08333333333333333,0.03225806451612903,0.046511627906976744,0.015873015873015872,sigmoid_probability
