subdivision,year,month,date,rainfall_mm,rainfall_zscore,rainfall_condition,is_dry,dry_episode_length,persistent_drought_signal
Andaman & Nicobar Islands,1920,SEP,1920-09-01,505.4,0.4268327523930917,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1920,OCT,1920-10-01,397.5,1.089353458108129,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1920,NOV,1920-11-01,262.9,0.2560861057982558,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1920,DEC,1920-12-01,85.5,-0.5484515942841219,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1921,JAN,1921-01-01,13.2,-0.5524703612438435,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1921,FEB,1921-02-01,3.1,-0.644869150405684,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1921,MAR,1921-03-01,0.0,-0.6527278243832318,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1921,APR,1921-04-01,37.5,-0.5234082614595056,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1921,MAY,1921-05-01,351.2,-0.0242760447485648,BELOW_NORMAL,0,0,0
Andaman & Nicobar Islands,1921,JUN,1921-06-01,282.7,-1.2785286397068654,DRY,1,1,0
Andaman & Nicobar Islands,1921,JUL,1921-07-01,487.1,0.5885281723603947,NORMAL_OR_WET,0,0,0
Andaman & Nicobar Islands,1921,AUG,1921-08-01,330.0,-0.4917137580077399,BELOW_NORMAL,0,0,0
