subdivision,year,month,rainfall_mm,date,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_stress,historical_mean_mm,historical_std_mm,historical_min_mm,historical_max_mm,observations,coefficient_of_variation,rainfall_zscore,rainfall_condition
West Rajasthan,1964,JAN,0.6,1964-01-01,5.9999999999999005,134.3000000000002,175.00000000000003,3.3230769230769237,-2.723076923076923,-81.94444444444444,2.723076923076923,0,1,3.3230769230769237,4.529241860426392,0.0,21.4,117,1.362966300591275,-0.6012213538140724,BELOW_NORMAL
West Rajasthan,1964,FEB,0.3,1964-02-01,1.1999999999999005,38.2000000000002,174.70000000000005,4.862393162393162,-4.562393162393162,-93.83019862893303,4.562393162393162,0,1,4.862393162393162,7.808436269959677,0.0,39.1,117,1.6058833601428764,-0.5842902477088057,BELOW_NORMAL
West Rajasthan,1964,MAR,0.5,1964-03-01,1.3999999999999004,11.700000000000198,169.50000000000003,4.011111111111111,-3.511111111111111,-87.53462603878116,3.511111111111111,0,1,4.011111111111111,7.750392401387102,0.0,59.0,117,1.9322307925895823,-0.453023657290271,BELOW_NORMAL
West Rajasthan,1964,APR,0.4,1964-04-01,1.1999999999999005,7.200000000000198,168.40000000000003,3.5418803418803417,-3.141880341880342,-88.70656370656371,3.141880341880342,0,1,3.5418803418803417,5.872939687393819,0.0,36.1,117,1.658141755369394,-0.534975754752657,BELOW_NORMAL
West Rajasthan,1964,MAY,13.7,1964-05-01,14.5999999999999,15.800000000000198,178.80000000000004,9.53931623931624,4.16068376068376,43.61616342621628,0.0,0,0,9.53931623931624,10.881096842412454,0.0,56.8,117,1.140657943340433,0.382377238337426,NORMAL_OR_WET
West Rajasthan,1964,JUN,25.4,1964-06-01,39.4999999999999,40.9000000000002,197.90000000000003,29.13162393162393,-3.731623931623933,-12.80952939795799,3.731623931623933,0,0,29.13162393162393,23.144890884690945,0.4,143.2,117,0.7944936725468961,-0.16122884096602907,BELOW_NORMAL
West Rajasthan,1964,JUL,138.9,1964-07-01,177.99999999999991,179.20000000000022,313.5,96.1059829059829,42.79401709401711,44.527942798192896,0.0,0,0,96.1059829059829,53.445688337108095,2.4,234.6,117,0.5561119788909722,0.8007010186508275,NORMAL_OR_WET
West Rajasthan,1964,AUG,140.5,1964-08-01,304.79999999999995,319.4000000000002,357.6,94.94786324786324,45.55213675213676,47.9759472134955,0.0,0,0,94.94786324786324,66.57975719894743,0.6,325.3,117,0.7012243869579212,0.6841739692144281,NORMAL_OR_WET
West Rajasthan,1964,SEP,16.4,1964-09-01,295.7999999999999,335.3000000000002,347.00000000000006,39.92820512820513,-23.52820512820513,-58.92627793475469,23.52820512820513,0,1,39.92820512820513,38.93558749363879,0.2,203.0,117,0.975139938512659,-0.6042853503122076,BELOW_NORMAL
West Rajasthan,1964,OCT,0.1,1964-10-01,156.99999999999991,335.00000000000017,342.2,5.194871794871794,-5.0948717948717945,-98.07502467917078,5.0948717948717945,0,1,5.194871794871794,11.70838077495572,0.0,78.3,117,2.2538344038661062,-0.4351474292474113,BELOW_NORMAL
West Rajasthan,1964,NOV,0.0,1964-11-01,16.499999999999915,321.3000000000002,337.1,1.6435897435897435,-1.6435897435897435,-100.0,1.6435897435897435,0,1,1.6435897435897435,4.502573681937167,0.0,34.8,117,2.7394754071068563,-0.3650333919427639,BELOW_NORMAL
West Rajasthan,1964,DEC,0.6,1964-12-01,0.6999999999999147,296.50000000000017,337.40000000000003,1.8854700854700852,-1.2854700854700851,-68.17769718948323,1.2854700854700851,0,1,1.8854700854700852,3.800210179243378,0.0,21.7,117,2.015523984458184,-0.338262892008258,BELOW_NORMAL
West Rajasthan,1965,JAN,3.6,1965-01-01,4.199999999999915,161.2000000000002,340.40000000000003,3.3230769230769237,0.2769230769230768,8.33333333333333,0.0,0,0,3.3230769230769237,4.529241860426392,0.0,21.4,117,1.362966300591275,0.061141154625159774,NORMAL_OR_WET
