year,month,season,rainfall_mm,rainfall_3m,rainfall_6m,rainfall_12m,historical_monthly_mean,rainfall_anomaly,rainfall_anomaly_pct,rainfall_deficit_mm,rainfall_missing,rainfall_zscore,rainfall_lag_1m,rainfall_lag_2m,rainfall_lag_3m,rainfall_prev_3m,rainfall_prev_6m,rainfall_prev_12m,rainfall_trend_3m,month_sin,month_cos
-0.70525414,0.0,0.05416046,-0.04205005,0.023189748,-0.024513442,-0.1511356,0.046325658,-0.002092762,-0.013104817,0.0051560914,5.881296e-05,0.04755959,0.0033774765,-0.04549089,0.0005197339,0.049555678,0.15515101,-0.53198266,0.013252697,0.073521934,0.7511463
-0.27632302,0.0,-0.015367014,-0.07752528,0.044766314,-0.057784665,-0.49490198,-0.7239388,0.0029386547,-0.045601748,-0.014701702,5.8580616e-05,-0.21216366,0.053407643,-0.033101797,0.03306417,0.028821232,-0.020268697,-0.50133514,-0.01730338,-0.08080494,-1.2610124
-0.37139136,0.0,0.059345547,-0.062013417,0.037638497,-0.031899627,0.2180505,-0.7077465,0.019675257,-0.06034245,0.0021972524,5.9008507e-05,-0.08102256,0.041421365,0.028619932,0.014178753,0.015628275,-0.12554799,0.27069503,-0.002021379,0.34516925,-0.24827555
-0.5507333,0.0,0.05717191,-0.056878563,-0.03176043,-0.03324043,-0.010910589,-0.07971908,0.039605264,-0.080320895,0.0022870463,5.8580616e-05,0.085631065,0.053592723,-0.070333086,0.012338257,0.033204816,0.033907127,-0.06619544,-0.008292429,0.021731906,0.40322766
-0.27875686,0.0,-0.37717983,0.0010795296,0.06311421,-0.04392894,0.28753915,0.07311775,0.012110417,-0.028410038,0.0029204495,5.89254e-05,0.07559417,-0.022054894,-0.035394937,-0.09833786,-0.16997418,-0.24169768,0.27785027,-0.011139265,-0.05957502,-1.2602341
-0.39580742,0.0,0.05916645,-0.014717503,-0.0033309767,0.01201923,-0.054060936,0.0474485,-0.028877757,-0.019579548,0.003698622,5.8720405e-05,-0.09433976,-0.010275412,-0.027723866,-0.12762451,-0.03961034,-0.032298647,0.05155986,0.0044219173,0.007959414,0.6585953
-0.26238737,0.0,-0.38653237,-0.083112374,0.019199507,-0.0444639,-0.23005153,-0.37934825,0.0071185376,-0.04542082,0.0033112701,5.8525944e-05,0.02605981,-0.0155952,-0.00075534126,-0.075183086,-0.07842042,-0.28516302,-0.15669705,0.012075692,-0.091070466,-1.5701425
-0.5717389,0.0,0.06052079,-0.016568955,0.0073812935,0.0046173893,-0.039383035,0.049132593,0.009539077,0.01981046,0.0050411015,5.8818776e-05,-0.06663347,0.010229628,-0.009261784,-0.031958733,0.01062702,0.10009044,-0.029987916,0.025658108,0.01340629,0.30789867
-0.15441999,0.0,-0.35015172,-0.023976922,-0.197805,-0.05972104,-0.0500557,-0.13668758,0.017168446,-0.047921214,-0.003372425,5.8525944e-05,0.23069282,-0.060428724,-0.18039757,-0.15629862,-0.2881489,-0.39669678,-0.029548528,0.02202735,-0.16443259,-1.4360865
-0.2089007,0.0,-0.36725372,0.008668696,-0.12169723,-0.028954225,0.016363531,-0.027392033,-0.016117863,-0.07769372,0.005218469,5.8818776e-05,-0.018861711,-0.05350215,-0.058830738,-0.05658823,-0.21619338,-0.37394187,0.016713485,-0.052770566,-0.074010454,-1.4846828
